t,x,y,z,R,G,B,N_x,N_y,N_z,d,ath
116,316.7500,179.5000,50.0000,1,100,253,0.1247,0.5772,-0.8071,442.7652,143.8094
116,303.5000,196.7500,50.0000,1,100,253,0.2985,0.5111,-0.8060,171.3476,143.7085
126,307.0000,158.2500,50.0000,1,100,253,-0.0793,0.4301,-0.8993,532.2828,154.0635
126,238.2500,187.2500,50.0000,1,100,253,0.1611,0.7122,-0.6832,511.4685,133.0953
126,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
127,307.0000,158.2500,50.0000,1,100,253,-0.0793,0.4301,-0.8993,532.2828,154.0635
127,238.2500,187.2500,50.0000,1,100,253,0.1611,0.7122,-0.6832,511.4685,133.0953
127,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
129,307.0000,158.2500,50.0000,1,100,253,-0.0793,0.4301,-0.8993,532.2828,154.0635
129,238.2500,187.2500,50.0000,1,100,253,0.1611,0.7122,-0.6832,511.4685,133.0953
129,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
130,307.0000,158.2500,50.0000,1,100,253,-0.0793,0.4301,-0.8993,532.2828,154.0635
130,238.2500,187.2500,50.0000,1,100,253,0.1611,0.7122,-0.6832,511.4685,133.0953
130,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
131,307.0000,158.2500,50.0000,1,100,253,-0.0793,0.4301,-0.8993,532.2828,154.0635
131,238.2500,187.2500,50.0000,1,100,253,0.1611,0.7122,-0.6832,511.4685,133.0953
131,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
134,307.0000,158.2500,50.0000,1,100,253,-0.0793,0.4301,-0.8993,532.2828,154.0635
134,238.2500,187.2500,50.0000,1,100,253,0.1611,0.7122,-0.6832,511.4685,133.0953
134,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
135,307.0000,158.2500,50.0000,1,100,253,-0.0793,0.4301,-0.8993,532.2828,154.0635
135,238.2500,187.2500,50.0000,1,100,253,0.1611,0.7122,-0.6832,511.4685,133.0953
135,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
142,304.2500,158.5000,50.0000,1,100,253,-0.0717,0.4542,-0.8880,532.2828,152.6260
142,235.5000,187.5000,50.0000,1,100,253,0.1674,0.7175,-0.6761,501.2006,132.5421
142,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
143,304.2500,158.5000,50.0000,1,100,253,-0.0717,0.4542,-0.8880,532.2828,152.6260
143,235.5000,187.5000,50.0000,1,100,253,0.1674,0.7175,-0.6761,501.2006,132.5421
143,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
145,304.2500,158.5000,50.0000,1,100,253,-0.0717,0.4542,-0.8880,532.2828,152.6260
145,235.5000,187.5000,50.0000,1,100,253,0.1674,0.7175,-0.6761,501.2006,132.5421
145,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
148,304.2500,158.5000,50.0000,1,100,253,-0.0717,0.4542,-0.8880,532.2828,152.6260
148,235.5000,187.5000,50.0000,1,100,253,0.1674,0.7175,-0.6761,501.2006,132.5421
148,212.7500,214.5000,50.0000,1,100,253,0.2945,0.6521,-0.6986,239.4368,134.3142
